"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 08 14:24:10 GMT 2021","Wed Sep 08 14:24:11 GMT 2021","1337","","New Todo","","should append new items to the bottom of the list","","TodoMVC - React New Todo should append new items to the bottom of the list",""
"passed","Wed Sep 08 14:24:59 GMT 2021","Wed Sep 08 14:24:59 GMT 2021","384","","todo creation field","","should have the placeholder text ""What needs to be done?""","","todo creation field should have the placeholder text ""What needs to be done?""",""
"passed","Wed Sep 08 14:24:35 GMT 2021","Wed Sep 08 14:24:36 GMT 2021","1585","","Clear completed button","","should remove completed items when clicked","","TodoMVC - React Clear completed button should remove completed items when clicked",""
"passed","Wed Sep 08 14:24:39 GMT 2021","Wed Sep 08 14:24:40 GMT 2021","1114","","Persistence","","should persist its data","","TodoMVC - React Persistence should persist its data",""
"passed","Wed Sep 08 14:24:21 GMT 2021","Wed Sep 08 14:24:22 GMT 2021","1899","","Item","","should allow me to edit an item","","TodoMVC - React Item should allow me to edit an item",""
"passed","Wed Sep 08 14:24:34 GMT 2021","Wed Sep 08 14:24:34 GMT 2021","993","","Counter","","should display the current number of todo items","","TodoMVC - React Counter should display the current number of todo items",""
"passed","Wed Sep 08 14:24:21 GMT 2021","Wed Sep 08 14:24:22 GMT 2021","1106","","Item","","should allow me to mark items as complete","","TodoMVC - React Item should allow me to mark items as complete",""
"passed","Wed Sep 08 14:24:10 GMT 2021","Wed Sep 08 14:24:11 GMT 2021","1038","","New Todo","","adds items","","TodoMVC - React New Todo adds items",""
"passed","Wed Sep 08 14:24:40 GMT 2021","Wed Sep 08 14:24:41 GMT 2021","1281","","Routing","","should highlight the currently applied filter","","TodoMVC - React Routing should highlight the currently applied filter",""
"passed","Wed Sep 08 14:24:16 GMT 2021","Wed Sep 08 14:24:17 GMT 2021","1473","","Mark all as completed","","should allow me to clear the complete state of all items","","TodoMVC - React Mark all as completed should allow me to clear the complete state of all items",""
"passed","Wed Sep 08 14:24:21 GMT 2021","Wed Sep 08 14:24:22 GMT 2021","1240","","Item","","should allow me to un-mark items as complete","","TodoMVC - React Item should allow me to un-mark items as complete",""
"passed","Wed Sep 08 14:24:40 GMT 2021","Wed Sep 08 14:24:41 GMT 2021","1696","","Routing","","should respect the back button","","TodoMVC - React Routing should respect the back button",""
"passed","Wed Sep 08 14:24:47 GMT 2021","Wed Sep 08 14:24:47 GMT 2021","401","","Contrast","","has good contrast when empty","","TodoMVC - React Contrast has good contrast when empty",""
"passed","Wed Sep 08 14:24:16 GMT 2021","Wed Sep 08 14:24:17 GMT 2021","1536","","Mark all as completed","","should allow me to mark all items as completed","","TodoMVC - React Mark all as completed should allow me to mark all items as completed",""
"passed","Wed Sep 08 14:24:08 GMT 2021","Wed Sep 08 14:24:08 GMT 2021","939","","TodoMVC - React","","adds 2 todos","","TodoMVC - React adds 2 todos",""
"passed","Wed Sep 08 14:24:16 GMT 2021","Wed Sep 08 14:24:17 GMT 2021","1660","","Mark all as completed","","complete all checkbox should update state when items are completed / cleared","","TodoMVC - React Mark all as completed complete all checkbox should update state when items are completed / cleared",""
"passed","Wed Sep 08 14:24:10 GMT 2021","Wed Sep 08 14:24:10 GMT 2021","331","","No Todos","","should hide #main and #footer","","TodoMVC - React No Todos should hide #main and #footer",""
"passed","Wed Sep 08 14:24:10 GMT 2021","Wed Sep 08 14:24:10 GMT 2021","743","","New Todo","","should show #main and #footer when items added","","TodoMVC - React New Todo should show #main and #footer when items added",""
