"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 06 09:24:40 GMT 2021","Mon Sep 06 09:24:41 GMT 2021","1198","","New Todo","","adds items","","TodoMVC - React New Todo adds items",""
"passed","Mon Sep 06 09:25:19 GMT 2021","Mon Sep 06 09:25:19 GMT 2021","917","","Contrast","","has good contrast with several todos","","TodoMVC - React Contrast has good contrast with several todos",""
"passed","Mon Sep 06 09:24:52 GMT 2021","Mon Sep 06 09:24:53 GMT 2021","1211","","Item","","should allow me to mark items as complete","","TodoMVC - React Item should allow me to mark items as complete",""
"passed","Mon Sep 06 09:24:40 GMT 2021","Mon Sep 06 09:24:41 GMT 2021","1467","","New Todo","","should allow me to add todo items","","TodoMVC - React New Todo should allow me to add todo items",""
"passed","Mon Sep 06 09:25:45 GMT 2021","Mon Sep 06 09:25:45 GMT 2021","301","","When page is initially opened","","should display the help text ""Double-click to edit a todo"", ""Created by petehunt"", ""Part of TodoMVC""","","todo page When page is initially opened should display the help text ""Double-click to edit a todo"", ""Created by petehunt"", ""Part of TodoMVC""",""
"passed","Mon Sep 06 09:24:52 GMT 2021","Mon Sep 06 09:24:54 GMT 2021","2067","","Item","","should allow me to edit an item","","TodoMVC - React Item should allow me to edit an item",""
"passed","Mon Sep 06 09:24:57 GMT 2021","Mon Sep 06 09:24:58 GMT 2021","1309","","Editing","","should hide other controls when editing","","TodoMVC - React Editing should hide other controls when editing",""
"passed","Mon Sep 06 09:25:11 GMT 2021","Mon Sep 06 09:25:12 GMT 2021","1687","","Routing","","should respect the back button","","TodoMVC - React Routing should respect the back button",""
"passed","Mon Sep 06 09:25:11 GMT 2021","Mon Sep 06 09:25:12 GMT 2021","1443","","Routing","","should highlight the currently applied filter","","TodoMVC - React Routing should highlight the currently applied filter",""
"passed","Mon Sep 06 09:24:57 GMT 2021","Mon Sep 06 09:24:58 GMT 2021","1565","","Editing","","should cancel edits on escape","","TodoMVC - React Editing should cancel edits on escape",""
"passed","Mon Sep 06 09:24:47 GMT 2021","Mon Sep 06 09:24:48 GMT 2021","1605","","Mark all as completed","","should allow me to mark all items as completed","","TodoMVC - React Mark all as completed should allow me to mark all items as completed",""
"passed","Mon Sep 06 09:24:47 GMT 2021","Mon Sep 06 09:24:48 GMT 2021","1660","","Mark all as completed","","complete all checkbox should update state when items are completed / cleared","","TodoMVC - React Mark all as completed complete all checkbox should update state when items are completed / cleared",""
"passed","Mon Sep 06 09:25:10 GMT 2021","Mon Sep 06 09:25:11 GMT 2021","1295","","Persistence","","should persist its data","","TodoMVC - React Persistence should persist its data",""
