"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 22 13:18:50 GMT 2021","Wed Sep 22 13:18:51 GMT 2021","995","","Adding a todo item","","","","displays the item as as a todo",""
"passed","Wed Sep 22 13:19:08 GMT 2021","Wed Sep 22 13:19:09 GMT 2021","460","todo page","No Todos","","","","should hide #main and #footer",""
"passed","Wed Sep 22 13:19:07 GMT 2021","Wed Sep 22 13:19:07 GMT 2021","534","todo page","When page is initially opened","","","","should have the heading ""todos""",""
"passed","Wed Sep 22 13:19:15 GMT 2021","Wed Sep 22 13:19:16 GMT 2021","844","todo page","New Todo","","","","should show #main and #footer when items added",""
"passed","Wed Sep 22 13:19:00 GMT 2021","Wed Sep 22 13:19:01 GMT 2021","648","","todo creation field","","","","should have the placeholder text ""What needs to be done?""",""
"passed","Wed Sep 22 13:19:07 GMT 2021","Wed Sep 22 13:19:08 GMT 2021","641","todo page","When page is initially opened","","","","should contain the todos creation field",""
"passed","Wed Sep 22 13:19:14 GMT 2021","Wed Sep 22 13:19:15 GMT 2021","1013","todo page","New Todo","","","","should trim text input",""
"passed","Wed Sep 22 13:19:06 GMT 2021","Wed Sep 22 13:19:07 GMT 2021","697","todo page","When page is initially opened","","","","the cursor should have focus on the todo input field",""
"passed","Wed Sep 22 13:19:09 GMT 2021","Wed Sep 22 13:19:10 GMT 2021","1209","todo page","New Todo","","","","should allow me to add todo items",""
"passed","Wed Sep 22 13:19:10 GMT 2021","Wed Sep 22 13:19:11 GMT 2021","1183","todo page","New Todo","","","","adds items",""
"passed","Wed Sep 22 13:19:12 GMT 2021","Wed Sep 22 13:19:14 GMT 2021","1674","todo page","New Todo","","","","should append new items to the bottom of the list",""
"passed","Wed Sep 22 13:19:11 GMT 2021","Wed Sep 22 13:19:12 GMT 2021","819","todo page","New Todo","","","","should clear text input field when an item is added",""
"passed","Wed Sep 22 13:19:08 GMT 2021","Wed Sep 22 13:19:08 GMT 2021","402","todo page","When page is initially opened","","","","should display the help text ""Double-click to edit a todo"", ""Created by petehunt"", ""Part of TodoMVC""",""
