"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 07 15:08:12 GMT 2021","Tue Sep 07 15:08:13 GMT 2021","1270","","Mark all as completed","","should allow me to mark all items as completed","","TodoMVC - React Mark all as completed should allow me to mark all items as completed",""
"passed","Tue Sep 07 15:08:20 GMT 2021","Tue Sep 07 15:08:21 GMT 2021","1205","","Editing","","should hide other controls when editing","","TodoMVC - React Editing should hide other controls when editing",""
"passed","Tue Sep 07 15:08:20 GMT 2021","Tue Sep 07 15:08:21 GMT 2021","1436","","Editing","","should cancel edits on escape","","TodoMVC - React Editing should cancel edits on escape",""
"passed","Tue Sep 07 15:08:16 GMT 2021","Tue Sep 07 15:08:16 GMT 2021","935","","Item","","should allow me to mark items as complete","","TodoMVC - React Item should allow me to mark items as complete",""
"passed","Tue Sep 07 15:08:00 GMT 2021","Tue Sep 07 15:08:01 GMT 2021","1038","","Adding a todo item","","displays the item as as a todo","","Adding a todo item displays the item as as a todo",""
"passed","Tue Sep 07 15:08:07 GMT 2021","Tue Sep 07 15:08:07 GMT 2021","894","","New Todo","","adds items","","TodoMVC - React New Todo adds items",""
"passed","Tue Sep 07 15:08:55 GMT 2021","Tue Sep 07 15:08:55 GMT 2021","267","","When page is initially opened","","should have the heading ""todos""","","todo page When page is initially opened should have the heading ""todos""",""
"passed","Tue Sep 07 15:08:07 GMT 2021","Tue Sep 07 15:08:07 GMT 2021","583","","New Todo","","should clear text input field when an item is added","","TodoMVC - React New Todo should clear text input field when an item is added",""
"passed","Tue Sep 07 15:08:32 GMT 2021","Tue Sep 07 15:08:33 GMT 2021","1099","","Persistence","","should persist its data","","TodoMVC - React Persistence should persist its data",""
"passed","Tue Sep 07 15:08:33 GMT 2021","Tue Sep 07 15:08:34 GMT 2021","1235","","Routing","","should highlight the currently applied filter","","TodoMVC - React Routing should highlight the currently applied filter",""
"passed","Tue Sep 07 15:08:16 GMT 2021","Tue Sep 07 15:08:16 GMT 2021","925","","Item","","should allow me to un-mark items as complete","","TodoMVC - React Item should allow me to un-mark items as complete",""
"passed","Tue Sep 07 15:08:07 GMT 2021","Tue Sep 07 15:08:07 GMT 2021","631","","New Todo","","should show #main and #footer when items added","","TodoMVC - React New Todo should show #main and #footer when items added",""
"passed","Tue Sep 07 15:08:40 GMT 2021","Tue Sep 07 15:08:40 GMT 2021","893","","Contrast","","has good contrast with several todos","","TodoMVC - React Contrast has good contrast with several todos",""
"passed","Tue Sep 07 15:08:07 GMT 2021","Tue Sep 07 15:08:07 GMT 2021","209","","No Todos","","should hide #main and #footer","","TodoMVC - React No Todos should hide #main and #footer",""
"passed","Tue Sep 07 15:08:07 GMT 2021","Tue Sep 07 15:08:07 GMT 2021","293","","When page is initially opened","","should focus on the todo input field","","TodoMVC - React When page is initially opened should focus on the todo input field",""
"passed","Tue Sep 07 15:08:20 GMT 2021","Tue Sep 07 15:08:21 GMT 2021","1375","","Editing","","should remove the item if an empty text string was entered","","TodoMVC - React Editing should remove the item if an empty text string was entered",""
