"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 22 11:09:38 GMT 2021","Wed Sep 22 11:09:39 GMT 2021","1042","todo page","New Todo","","","","adds items",""
"passed","Wed Sep 22 11:09:17 GMT 2021","Wed Sep 22 11:09:18 GMT 2021","910","","Adding a todo item","","","","displays the item as as a todo",""
"failed","Wed Sep 22 11:09:40 GMT 2021","Wed Sep 22 11:09:41 GMT 2021","868","todo page","New Todo","","","","should clear text input field when an item is added",""
"passed","Wed Sep 22 11:09:36 GMT 2021","Wed Sep 22 11:09:36 GMT 2021","396","todo page","When page is initially opened","","","","should display the help text ""Double-click to edit a todo"", ""Created by petehunt"", ""Part of TodoMVC""",""
"failed","Wed Sep 22 11:09:43 GMT 2021","Wed Sep 22 11:09:44 GMT 2021","815","todo page","New Todo","","","","should trim text input",""
"failed","Wed Sep 22 11:09:41 GMT 2021","Wed Sep 22 11:09:42 GMT 2021","788","todo page","New Todo","","","","should append new items to the bottom of the list",""
"passed","Wed Sep 22 11:09:36 GMT 2021","Wed Sep 22 11:09:37 GMT 2021","481","todo page","No Todos","","","","should hide #main and #footer",""
"failed","Wed Sep 22 11:09:38 GMT 2021","Wed Sep 22 11:09:38 GMT 2021","598","todo page","New Todo","","","","should allow me to add todo items",""
"passed","Wed Sep 22 11:09:35 GMT 2021","Wed Sep 22 11:09:35 GMT 2021","572","todo page","When page is initially opened","","","","should have the heading ""todos""",""
"passed","Wed Sep 22 11:09:34 GMT 2021","Wed Sep 22 11:09:35 GMT 2021","543","todo page","When page is initially opened","","","","the cursor should have focus on the todo input field",""
"failed","Wed Sep 22 11:09:25 GMT 2021","Wed Sep 22 11:09:25 GMT 2021","190","","","","","","An uncaught error was detected outside of a test",""
"passed","Wed Sep 22 11:09:35 GMT 2021","Wed Sep 22 11:09:36 GMT 2021","590","todo page","When page is initially opened","","","","should contain the todos creation field",""
"failed","Wed Sep 22 11:09:45 GMT 2021","Wed Sep 22 11:09:46 GMT 2021","948","todo page","New Todo","","","","should show #main and #footer when items added",""
