"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 08 15:40:07 GMT 2021","Wed Sep 08 15:40:08 GMT 2021","1243","","New Todo","","adds items","","TodoMVC - React New Todo adds items",""
"passed","Wed Sep 08 15:41:06 GMT 2021","Wed Sep 08 15:41:06 GMT 2021","460","","todo creation field","","should have the placeholder text ""What needs to be done?""","","todo creation field should have the placeholder text ""What needs to be done?""",""
"passed","Wed Sep 08 15:40:46 GMT 2021","Wed Sep 08 15:40:46 GMT 2021","417","","Contrast","","has good contrast when empty","","TodoMVC - React Contrast has good contrast when empty",""
"passed","Wed Sep 08 15:40:23 GMT 2021","Wed Sep 08 15:40:25 GMT 2021","2160","","Editing","","should trim entered text","","TodoMVC - React Editing should trim entered text",""
"passed","Wed Sep 08 15:40:06 GMT 2021","Wed Sep 08 15:40:06 GMT 2021","484","","When page is initially opened","","should focus on the todo input field","","TodoMVC - React When page is initially opened should focus on the todo input field",""
"passed","Wed Sep 08 15:40:13 GMT 2021","Wed Sep 08 15:40:14 GMT 2021","1775","","Mark all as completed","","should allow me to clear the complete state of all items","","TodoMVC - React Mark all as completed should allow me to clear the complete state of all items",""
"passed","Wed Sep 08 15:39:56 GMT 2021","Wed Sep 08 15:39:57 GMT 2021","1062","","Adding a todo item","","displays the item as as a todo","","Adding a todo item displays the item as as a todo",""
"passed","Wed Sep 08 15:40:19 GMT 2021","Wed Sep 08 15:40:20 GMT 2021","1285","","Item","","should allow me to mark items as complete","","TodoMVC - React Item should allow me to mark items as complete",""
"passed","Wed Sep 08 15:40:07 GMT 2021","Wed Sep 08 15:40:07 GMT 2021","849","","New Todo","","should show #main and #footer when items added","","TodoMVC - React New Todo should show #main and #footer when items added",""
"passed","Wed Sep 08 15:40:46 GMT 2021","Wed Sep 08 15:40:46 GMT 2021","904","","Contrast","","has good contrast with several todos","","TodoMVC - React Contrast has good contrast with several todos",""
"passed","Wed Sep 08 15:40:23 GMT 2021","Wed Sep 08 15:40:24 GMT 2021","1565","","Editing","","should remove the item if an empty text string was entered","","TodoMVC - React Editing should remove the item if an empty text string was entered",""
"passed","Wed Sep 08 15:40:33 GMT 2021","Wed Sep 08 15:40:34 GMT 2021","1441","","Clear completed button","","should be hidden when there are no items that are completed","","TodoMVC - React Clear completed button should be hidden when there are no items that are completed",""
"passed","Wed Sep 08 15:40:32 GMT 2021","Wed Sep 08 15:40:32 GMT 2021","869","","Counter","","should display the current number of todo items","","TodoMVC - React Counter should display the current number of todo items",""
"passed","Wed Sep 08 15:40:07 GMT 2021","Wed Sep 08 15:40:07 GMT 2021","862","","New Todo","","should clear text input field when an item is added","","TodoMVC - React New Todo should clear text input field when an item is added",""
"passed","Wed Sep 08 15:40:23 GMT 2021","Wed Sep 08 15:40:24 GMT 2021","1596","","Editing","","should hide other controls when editing","","TodoMVC - React Editing should hide other controls when editing",""
"passed","Wed Sep 08 15:40:38 GMT 2021","Wed Sep 08 15:40:39 GMT 2021","1511","","Routing","","should allow me to display all items","","TodoMVC - React Routing should allow me to display all items",""
"passed","Wed Sep 08 15:40:23 GMT 2021","Wed Sep 08 15:40:25 GMT 2021","2002","","Editing","","should save edits on blur","","TodoMVC - React Editing should save edits on blur",""
"passed","Wed Sep 08 15:40:19 GMT 2021","Wed Sep 08 15:40:21 GMT 2021","2093","","Item","","should allow me to edit an item","","TodoMVC - React Item should allow me to edit an item",""
"passed","Wed Sep 08 15:40:19 GMT 2021","Wed Sep 08 15:40:20 GMT 2021","1282","","Item","","should allow me to un-mark items as complete","","TodoMVC - React Item should allow me to un-mark items as complete",""
"passed","Wed Sep 08 15:40:33 GMT 2021","Wed Sep 08 15:40:34 GMT 2021","1383","","Clear completed button","","should remove completed items when clicked","","TodoMVC - React Clear completed button should remove completed items when clicked",""
"passed","Wed Sep 08 15:40:04 GMT 2021","Wed Sep 08 15:40:05 GMT 2021","1201","","TodoMVC - React","","adds 2 todos","","TodoMVC - React adds 2 todos",""
"passed","Wed Sep 08 15:40:07 GMT 2021","Wed Sep 08 15:40:08 GMT 2021","1269","","New Todo","","should allow me to add todo items","","TodoMVC - React New Todo should allow me to add todo items",""
"passed","Wed Sep 08 15:40:38 GMT 2021","Wed Sep 08 15:40:39 GMT 2021","1361","","Routing","","should highlight the currently applied filter","","TodoMVC - React Routing should highlight the currently applied filter",""
"passed","Wed Sep 08 15:40:07 GMT 2021","Wed Sep 08 15:40:08 GMT 2021","1474","","New Todo","","should append new items to the bottom of the list","","TodoMVC - React New Todo should append new items to the bottom of the list",""
"passed","Wed Sep 08 15:40:06 GMT 2021","Wed Sep 08 15:40:06 GMT 2021","418","","No Todos","","should hide #main and #footer","","TodoMVC - React No Todos should hide #main and #footer",""
"passed","Wed Sep 08 15:40:37 GMT 2021","Wed Sep 08 15:40:38 GMT 2021","1240","","Persistence","","should persist its data","","TodoMVC - React Persistence should persist its data",""
"passed","Wed Sep 08 15:40:33 GMT 2021","Wed Sep 08 15:40:34 GMT 2021","1280","","Clear completed button","","should display the correct text","","TodoMVC - React Clear completed button should display the correct text",""
"passed","Wed Sep 08 15:40:13 GMT 2021","Wed Sep 08 15:40:14 GMT 2021","1654","","Mark all as completed","","should allow me to mark all items as completed","","TodoMVC - React Mark all as completed should allow me to mark all items as completed",""
"passed","Wed Sep 08 15:40:38 GMT 2021","Wed Sep 08 15:40:39 GMT 2021","1398","","Routing","","should allow me to display active items","","TodoMVC - React Routing should allow me to display active items",""
"passed","Wed Sep 08 15:40:07 GMT 2021","Wed Sep 08 15:40:07 GMT 2021","897","","New Todo","","should trim text input","","TodoMVC - React New Todo should trim text input",""
"passed","Wed Sep 08 15:40:23 GMT 2021","Wed Sep 08 15:40:24 GMT 2021","1505","","Editing","","should cancel edits on escape","","TodoMVC - React Editing should cancel edits on escape",""
"passed","Wed Sep 08 15:40:38 GMT 2021","Wed Sep 08 15:40:39 GMT 2021","1656","","Routing","","should respect the back button","","TodoMVC - React Routing should respect the back button",""
"passed","Wed Sep 08 15:40:38 GMT 2021","Wed Sep 08 15:40:39 GMT 2021","1434","","Routing","","should allow me to display completed items","","TodoMVC - React Routing should allow me to display completed items",""
"passed","Wed Sep 08 15:41:10 GMT 2021","Wed Sep 08 15:41:10 GMT 2021","359","","When page is initially opened","","should contain the todos creation field","","todo page When page is initially opened should contain the todos creation field",""
