"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 17 13:12:21 GMT 2021","Fri Sep 17 13:12:22 GMT 2021","926","","Adding a todo item","","","","displays the item as as a todo",""
"passed","Fri Sep 17 13:12:30 GMT 2021","Fri Sep 17 13:12:30 GMT 2021","361","TodoMVC - React","No Todos","","","","should hide #main and #footer",""
"passed","Fri Sep 17 13:12:49 GMT 2021","Fri Sep 17 13:12:51 GMT 2021","2152","TodoMVC - React","Editing","","","","should trim entered text",""
"passed","Fri Sep 17 13:13:31 GMT 2021","Fri Sep 17 13:13:31 GMT 2021","460","todo page","When page is initially opened","","","","the cursor should have focus on the todo input field",""
"passed","Fri Sep 17 13:13:05 GMT 2021","Fri Sep 17 13:13:06 GMT 2021","1475","TodoMVC - React","Routing","","","","should allow me to display completed items",""
"passed","Fri Sep 17 13:13:32 GMT 2021","Fri Sep 17 13:13:32 GMT 2021","396","todo page","When page is initially opened","","","","should have the heading ""todos""",""
"passed","Fri Sep 17 13:12:44 GMT 2021","Fri Sep 17 13:12:46 GMT 2021","1923","TodoMVC - React","Item","","","","should allow me to edit an item",""
"passed","Fri Sep 17 13:12:35 GMT 2021","Fri Sep 17 13:12:36 GMT 2021","1004","TodoMVC - React","New Todo","","","","should trim text input",""
"passed","Fri Sep 17 13:12:54 GMT 2021","Fri Sep 17 13:12:55 GMT 2021","934","TodoMVC - React","Counter","","","","should display the current number of todo items",""
"passed","Fri Sep 17 13:12:47 GMT 2021","Fri Sep 17 13:12:49 GMT 2021","1810","TodoMVC - React","Editing","","","","should save edits on blur",""
"passed","Fri Sep 17 13:12:33 GMT 2021","Fri Sep 17 13:12:35 GMT 2021","1544","TodoMVC - React","New Todo","","","","should append new items to the bottom of the list",""
"passed","Fri Sep 17 13:12:32 GMT 2021","Fri Sep 17 13:12:33 GMT 2021","786","TodoMVC - React","New Todo","","","","should clear text input field when an item is added",""
"passed","Fri Sep 17 13:12:29 GMT 2021","Fri Sep 17 13:12:30 GMT 2021","476","TodoMVC - React","When page is initially opened","","","","should focus on the todo input field",""
"passed","Fri Sep 17 13:13:01 GMT 2021","Fri Sep 17 13:13:03 GMT 2021","1534","TodoMVC - React","Routing","","","","should allow me to display active items",""
"passed","Fri Sep 17 13:13:10 GMT 2021","Fri Sep 17 13:13:11 GMT 2021","1129","TodoMVC - React","Contrast","","","","has good contrast with several todos",""
"passed","Fri Sep 17 13:12:28 GMT 2021","Fri Sep 17 13:12:29 GMT 2021","1087","","TodoMVC - React","","","","adds 2 todos",""
"passed","Fri Sep 17 13:12:41 GMT 2021","Fri Sep 17 13:12:42 GMT 2021","1266","TodoMVC - React","Item","","","","should allow me to mark items as complete",""
"passed","Fri Sep 17 13:13:32 GMT 2021","Fri Sep 17 13:13:32 GMT 2021","450","todo page","When page is initially opened","","","","should contain the todos creation field",""
"passed","Fri Sep 17 13:12:36 GMT 2021","Fri Sep 17 13:12:36 GMT 2021","729","TodoMVC - React","New Todo","","","","should show #main and #footer when items added",""
"passed","Fri Sep 17 13:12:53 GMT 2021","Fri Sep 17 13:12:54 GMT 2021","1670","TodoMVC - React","Editing","","","","should cancel edits on escape",""
"passed","Fri Sep 17 13:13:26 GMT 2021","Fri Sep 17 13:13:26 GMT 2021","542","","todo creation field","","","","should have the placeholder text ""What needs to be done?""",""
"passed","Fri Sep 17 13:12:51 GMT 2021","Fri Sep 17 13:12:53 GMT 2021","1572","TodoMVC - React","Editing","","","","should remove the item if an empty text string was entered",""
"passed","Fri Sep 17 13:12:38 GMT 2021","Fri Sep 17 13:12:40 GMT 2021","1590","TodoMVC - React","Mark all as completed","","","","should allow me to clear the complete state of all items",""
"passed","Fri Sep 17 13:13:06 GMT 2021","Fri Sep 17 13:13:08 GMT 2021","1802","TodoMVC - React","Routing","","","","should allow me to display all items",""
"passed","Fri Sep 17 13:13:00 GMT 2021","Fri Sep 17 13:13:01 GMT 2021","1460","TodoMVC - React","Persistence","","","","should persist its data",""
"passed","Fri Sep 17 13:13:32 GMT 2021","Fri Sep 17 13:13:33 GMT 2021","303","todo page","When page is initially opened","","","","should display the help text ""Double-click to edit a todo"", ""Created by petehunt"", ""Part of TodoMVC""",""
"passed","Fri Sep 17 13:12:55 GMT 2021","Fri Sep 17 13:12:57 GMT 2021","1417","TodoMVC - React","Clear completed button","","","","should display the correct text",""
"passed","Fri Sep 17 13:12:42 GMT 2021","Fri Sep 17 13:12:44 GMT 2021","1266","TodoMVC - React","Item","","","","should allow me to un-mark items as complete",""
"passed","Fri Sep 17 13:12:46 GMT 2021","Fri Sep 17 13:12:47 GMT 2021","1454","TodoMVC - React","Editing","","","","should hide other controls when editing",""
"passed","Fri Sep 17 13:12:36 GMT 2021","Fri Sep 17 13:12:38 GMT 2021","1460","TodoMVC - React","Mark all as completed","","","","should allow me to mark all items as completed",""
"passed","Fri Sep 17 13:13:03 GMT 2021","Fri Sep 17 13:13:05 GMT 2021","1800","TodoMVC - React","Routing","","","","should respect the back button",""
"passed","Fri Sep 17 13:13:08 GMT 2021","Fri Sep 17 13:13:09 GMT 2021","1426","TodoMVC - React","Routing","","","","should highlight the currently applied filter",""
"passed","Fri Sep 17 13:13:09 GMT 2021","Fri Sep 17 13:13:10 GMT 2021","506","TodoMVC - React","Contrast","","","","has good contrast when empty",""
"passed","Fri Sep 17 13:12:31 GMT 2021","Fri Sep 17 13:12:32 GMT 2021","1049","TodoMVC - React","New Todo","","","","adds items",""
"passed","Fri Sep 17 13:12:30 GMT 2021","Fri Sep 17 13:12:31 GMT 2021","1257","TodoMVC - React","New Todo","","","","should allow me to add todo items",""
"passed","Fri Sep 17 13:12:40 GMT 2021","Fri Sep 17 13:12:41 GMT 2021","1619","TodoMVC - React","Mark all as completed","","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Fri Sep 17 13:12:57 GMT 2021","Fri Sep 17 13:12:58 GMT 2021","1525","TodoMVC - React","Clear completed button","","","","should remove completed items when clicked",""
"passed","Fri Sep 17 13:12:58 GMT 2021","Fri Sep 17 13:13:00 GMT 2021","1530","TodoMVC - React","Clear completed button","","","","should be hidden when there are no items that are completed",""
